Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
-0.09698,-2.92274,0.99058,0.0,1.0,1.1718,1.1696,-0.00455,0.07093,1943.2244,1944.44312
0.29656,-1.00199,0.9905,-0.0,1.0,1.1669,1.16451,-0.0058,-0.03999,936.36816,818.12671
-0.3944,-3.2982,0.98988,-0.0,1.0,1.1625,1.16192,-0.02826,-0.02998,2839.032,2540.79102
-0.63244,-4.07825,0.98828,-0.0,1.0,1.1593,1.15599,-0.01151,-0.05318,8250.24,7925.56348
0.12677,-2.07583,0.98958,-0.0,1.0,1.1546,1.15397,-0.00307,-0.01322,809.4584,556.59143
0.29934,-1.59384,0.98988,0.0,1.0,1.1549,1.15479,-0.0122,-0.05207,595.1715,574.66791
-0.17436,-2.91542,0.99059,0.0,1.0,1.1518,1.14933,-0.00597,0.128,2355.4272,2835.88037
0.17257,-3.22381,0.99218,-0.0,1.0,1.1497,1.14964,-0.00807,-0.15999,2031.0973,1777.26013
0.25597,-2.65584,0.98932,0.0,1.0,1.1483,1.14738,-0.00323,-0.05949,1525.3339,1268.77917
0.67525,-0.33121,0.99208,-0.0,1.0,1.1464,1.14547,-0.00206,0.12884,1932.7072,1688.67078
-0.10953,-4.08038,0.99208,0.0,1.0,1.1488,1.15143,-0.01054,-0.10465,3395.4016,2729.41162
-0.12091,-2.69297,0.98988,0.0,1.0,1.148,1.14518,-0.00742,-0.04235,3325.6797,3159.88452
-1.37782,-6.58929,0.98078,-0.0,1.0,1.1474,1.14885,-0.00526,-0.13761,25039.457,18581.5
-0.68141,-5.38333,0.99208,-0.0,1.0,1.1452,1.14193,-0.01281,-0.21089,10437.439,8019.22119
-0.14566,-3.64186,0.98558,-0.0,1.0,1.1387,1.13664,-0.01433,-0.04819,2128.6594,1728.49963
-0.39933,-4.4022,0.99118,-0.0,1.0,1.135,1.13418,-0.00877,-0.09942,4446.8623,3330.31592
0.49997,-1.38887,0.99218,0.0,1.0,1.1343,1.13456,-0.00408,0.14131,1601.7803,1393.98035
0.27802,-1.14504,0.99088,-0.0,1.0,1.1334,1.13314,-0.01522,-0.1263,902.6797,972.42993
0.67661,-0.5212,0.99208,-0.0,1.0,1.1319,1.12994,-0.01048,-0.15975,2755.8884,2854.07471
0.21159,-2.12961,0.99218,-0.0,1.0,1.1267,1.12386,-0.00186,0.10346,1913.6895,1937.07812
-0.31686,-4.6431,0.98948,0.0,1.0,1.1212,1.1182,-0.02049,0.03257,7834.4565,8103.28076
0.20272,-1.90819,0.98958,0.0,1.0,1.1198,1.12033,-0.01253,-0.32918,1738.9755,1242.74805
0.42705,-0.83093,0.99138,0.0,1.0,1.1202,1.11995,-0.00599,0.12395,861.36835,671.13104
-0.10947,-3.20841,0.99178,-0.0,1.0,1.1164,1.11266,-0.00651,0.03338,3383.1042,3261.74927
0.52908,-0.86967,0.98658,0.0,1.0,1.1147,1.1161,-0.00434,0.11495,1451.2329,1208.36719
0.61086,-1.17929,0.99018,0.0,1.0,1.117,1.11665,-0.0103,-0.00017,2465.1606,2368.79736
0.38725,-4.70439,0.99148,-0.0,1.0,1.1163,1.11663,-0.00341,-0.07178,1172.3049,1125.8623
-0.55744,-5.23336,0.98858,-0.0,1.0,1.1137,1.11147,-0.01604,0.07841,15201.366,17261.07031
-0.07143,-2.11013,0.99198,0.0,1.0,1.109,1.1073,-0.01011,-0.20608,2032.8336,1834.82153
0.71751,-0.51771,0.99188,-0.0,1.0,1.1082,1.10827,-0.01292,-0.12408,2389.9985,2404.76514
-0.47181,-4.15491,0.98978,0.0,1.0,1.1056,1.10408,-0.00851,0.11101,8526.744,9443.58398
0.04552,-4.09764,0.99208,-0.0,1.0,1.101,1.09772,-0.00761,-0.15339,3429.2798,2553.65698
0.42604,-1.41351,0.98938,0.0,1.0,1.0968,1.09595,-0.00645,-0.01499,1234.419,1158.40076
0.01295,-2.5917,0.99118,0.0,1.0,1.0936,1.09177,-0.00817,0.04343,3254.9053,3200.52979
0.14269,-5.2671,0.98988,-0.0,1.0,1.0936,1.09438,-0.00827,-0.02473,4669.211,5536.57568
-0.11942,-3.1387,0.99208,0.0,1.0,1.0933,1.09314,-0.00984,-0.0249,4247.1504,3869.76294
0.8261,0.3169,0.99158,-0.0,1.0,1.0945,1.09494,-0.00724,-0.16212,4087.7468,4217.6582
0.24727,-2.13062,0.99208,0.0,1.0,1.0961,1.09724,-0.00766,0.09365,953.1323,860.0929
0.26756,-1.91788,0.99218,-0.0,1.0,1.0978,1.09762,-0.00642,-0.14019,1003.5239,891.68536
0.58922,-1.25814,0.99068,0.0,1.0,1.0966,1.09545,-0.00746,-0.06891,1592.1272,1526.59253
-0.66332,-5.25474,0.98527,0.0,1.0,1.0921,1.08967,-0.02136,0.05364,16429.885,19804.24805
0.69919,-0.71275,0.99148,0.0,1.0,1.088,1.08642,-0.00552,0.03821,2389.5718,2145.51392
