Average Reward,Reward Min,Reward Max,Advantage Mean,Advantage Std,Entropy Loss,Policy Loss,Value Loss,,,,,,,,,,,Experiment,Measurement,Replication,Module,Module Display Path,Name,Count,Mean,StdDev
-5.9834,-11.8078,0.9667,0,1,0.7258,0.1888,1276.2717,~?6?983.4,,,,,,,,,,PPOTraining,,#77,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?186.67
-4.223,-7.98,0.9727,0,1,0.7258,0,1849.9209,~?5?223.05,,,,,,,,,,PPOTraining,,#78,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?765.22
-4.9338,-11.7686,0.9895,0,1,0.7258,0.5541,1251.6254,~?5?933.84,,,,,,,,,,PPOTraining,,#79,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?287.51
-3.2952,-9.7569,0.9773,0,1,0.7258,0.4669,998.9661,~?4?295.18,,,,,,,,,,PPOTraining,,#80,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?948.74
-5.2674,-13.5257,0.9703,0,1,0.7258,0,2457.4443,~?6?267.42,,,,,,,,,,PPOTraining,,#81,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?375.73
-6.8122,-12.3662,0.9405,0,1,0.7258,0,5180.7441,~?7?812.17,,,,,,,,,,PPOTraining,,#82,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?017.81
-4.1674,-7.4596,0.9879,0,1,0.7258,0.0067,823.7076,~?5?167.43,,,,,,,,,,PPOTraining,,#83,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?483.28
-4.9122,-11.1317,0.9688,0,1,0.7258,0.2386,1146.577,~?5?912.18,,,,,,,,,,PPOTraining,,#84,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?126.06
-7.5323,-13.1551,0.9685,0,1,0.7258,0.0712,2052.6514,~?8?532.27,,,,,,,,,,PPOTraining,,#85,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?797.81
-7.2069,-11.2587,0.9472,0,1,0.7258,0.156,2878.8105,~?8?206.88,,,,,,,,,,PPOTraining,,#86,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?508.92
-4.4646,-8.2056,0.9831,0,1,0.7258,0.0218,1005.4185,~?5?464.59,,,,,,,,,,PPOTraining,,#87,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?719.29
-5.1359,-11.6723,0.9634,0,1,0.7258,0.3973,1915.9999,~?6?135.89,,,,,,,,,,PPOTraining,,#88,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?205.71
-4.459,-10.7534,0.9369,0,1,0.7258,0.1987,1150.4033,~?5?458.97,,,,,,,,,,PPOTraining,,#89,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?271.23
-5.6158,-11.8549,0.9743,0,1,0.7258,0.0875,1182.5502,~?6?615.82,,,,,,,,,,PPOTraining,,#90,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?262.42
-5.8665,-15.096,0.9685,0,1,0.7258,0.0057,3002.4902,~?6?866.49,,,,,,,,,,PPOTraining,,#91,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?926.78
-4.6302,-11.9549,0.9893,0,1,0.7258,0.0522,2846.7041,~?5?630.2,,,,,,,,,,PPOTraining,,#92,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?537.3
-5.7867,-11.0339,0.9668,0,1,0.7258,0.0227,2190.0596,~?6?786.67,,,,,,,,,,PPOTraining,,#93,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?586.43
-3.706,-10.4005,0.9789,0,1,0.7258,0.0025,1299.5204,~?4?705.95,,,,,,,,,,PPOTraining,,#94,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?949.27
-5.8809,-11.2395,0.9394,0,1,0.7258,0.025,1439.9749,~?6?880.86,,,,,,,,,,PPOTraining,,#95,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?917.41
-4.8039,-10.467,0.9798,0,1,0.7258,0.5955,1568.4467,~?5?803.89,,,,,,,,,,PPOTraining,,#96,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?761.47
-2.9965,-8.6283,0.979,0,1,0.7258,0.0211,385.7219,~?3?996.47,,,,,,,,,,PPOTraining,,#97,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?385.1
-7.327,-13.4484,0.9859,0,1,0.7258,0,3250.4966,~?8?327,,,,,,,,,,PPOTraining,,#98,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?893.1
-6.4724,-11.6778,0.9767,0,1,0.7258,0,3027.9436,~?7?472.41,,,,,,,,,,PPOTraining,,#99,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?575.36
-6.8582,-11.6463,0.984,0,1,0.7258,0.4302,3118.9377,~?7?858.2,,,,,,,,,,PPOTraining,,#100,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?992.33
-4.6185,-8.548,0.964,0,1,0.7258,0.2124,1453.6702,~?5?618.51,,,,,,,,,,PPOTraining,,#101,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?695.59
-6.6152,-11.7686,0.9792,0,1,0.7258,0.0316,1989.5325,~?7?615.19,,,,,,,,,,PPOTraining,,#102,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?888.79
-4.3221,-9.3852,0.9843,0,1,0.7258,0.019,1149.2548,~?5?322.1,,,,,,,,,,PPOTraining,,#103,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?988.58
-4.4369,-9.0857,0.9713,0,1,0.7258,0.0064,960.8681,~?5?436.94,,,,,,,,,,PPOTraining,,#104,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?602.68
-5.2788,-8.7847,0.9769,0,1,0.7258,0.0219,1305.4176,~?6?278.82,,,,,,,,,,PPOTraining,,#105,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?022.01
-5.5012,-11.4981,0.9859,0,1,0.7258,0,3381.2253,~?6?501.24,,,,,,,,,,PPOTraining,,#106,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?995.95
-4.2991,-10.6398,0.9802,0,1,0.7258,0,3788.3074,~?5?299.08,,,,,,,,,,PPOTraining,,#107,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?288.63
-4.7027,-9.0025,0.9855,0,1,0.7258,0.0061,996.3765,~?5?702.69,,,,,,,,,,PPOTraining,,#108,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?420.26
-4.9634,-11.6642,0.9726,0,1,0.7258,0.3577,2230.6042,~?5?963.35,,,,,,,,,,PPOTraining,,#109,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?605.97
-2.9713,-8.4633,0.9784,0,1,0.7258,0.2833,1272.8423,~?3?971.26,,,,,,,,,,PPOTraining,,#110,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?261.57
-6.3603,-11.0936,0.9603,0,1,0.7258,0.0051,1774.0375,~?7?360.31,,,,,,,,,,PPOTraining,,#111,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?877.75
-3.0867,-8.8663,0.9911,0,1,0.7258,0.2088,411.229,~?4?086.7,,,,,,,,,,PPOTraining,,#112,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?339.38
-5.6497,-12.635,0.9735,0,1,0.7258,0.0049,1330.953,~?6?649.69,,,,,,,,,,PPOTraining,,#113,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?666.72
